SystemDate,AccountNumber,OfficeRR,Currency,SecurityType,Symbol,CUSIP,Sedol,SecurityDescription,TodayUnrealizedPL,TodayRealizedPL,TodayCouponInterest,TodayFundingInterest,TodayTotalPL,MTDUnrealizedPL,MTDRealizedPL,MTDCouponInterest,MTDFundingInterest,MTDTotalPL
10/20/2023,66TX0020,TX24,USD,Corporate Bonds,,144523AC1,,CARRINGTON HLDG COMPANY LLC 8.000% 01/01/26 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0025,TX23,USD,Corporate Bonds,,35640YAA5,,FREEDOM MORTGAGE CORPORATION 8.125% 11/15/24 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0025,TX23,USD,Corporate Bonds,,35640YAB3,,FREEDOM MORTGAGE CORPORATION 8.250% 04/15/25 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0025,TX23,USD,Corporate Bonds,,878155AE0,BFZ2JD1,TEAM INC 5.000% 08/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0025,TX23,USD,Corporate Bonds,,88947EAN0,B9GWFM9,TOLL BROS FIN CORP 4.375% 04/15/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0028,TX24,USD,Corporate Bonds,,62913TAJ1,,NGL ENERGY PARTNERS LP 7.500% 11/01/23 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0040,TX26,USD,Corporate Bonds,,045054AR4,BM8K146,ASHTEAD CAP INC SR 144A NT 33 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0040,TX26,USD,Corporate Bonds,,716973AG7,BQ66T84,PFIZER INVT ENTERPRISES 0.000% 05/19/53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0040,TX26,USD,Corporate Bonds,,75513ECR0,BQS6Q47,RAYTHEON TECHNOLOGIES CORP 5.150% 02/27/33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0040,TX26,USD,Corporate Bonds,,80282KBG0,BQWPDY9,SANTANDER HLDGS USA INC SR NT FIXED/FLTG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0040,TX26,USD,Treasury Notes,,91282CGM7,BQXLPX9,US TREAS NTS 9 YEAR 10 MONTH MATURITY 02/15/33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0040,TX26,USD,Treasury Notes,,91282CHC8,BQYLTK3,US TREAS NOTE 9 YEAR 10 MONTH MATURITY 05/15/33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
