SystemDate,AccountNumber,OfficeRR,Currency,SecurityType,Symbol,CUSIP,Sedol,SecurityDescription,ClosingPrice,factor,Rate,TradeQuantity,SettleQuantity,TradeMarketValue,SettleMarketValue,TodayUnrealizedPL,TodayRealizedPL,TodayCouponInterest,TodayFundingInterest,TodayTotalPL,MTDUnrealizedPL,MTDRealizedPL,MTDCouponInterest,MTDFundingInterest,MTDTotalPL,YTDUnrealizedPL,YTDRealizedPL,YTDCouponInterest,YTDFundingInterest,YTDTotalPL
10/20/2023,66EG99E1,EG03,USD,Mortgage-Backed and Government Agencies,,3130A3VC5,BDZZ3T0,FEDERAL HOME LOAN BANKS 2.250% 12/08/23,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.0000,0.0000,0.0000,70.0000
10/20/2023,66EG99E1,EG03,USD,Mortgage-Backed and Government Agencies,,3130AC4Z4,BJXDGP5,FEDERAL HOME LOAN BANKS 2.125% 02/15/24,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,180.0000,0.0000,0.0000,180.0000
10/20/2023,66EG99E1,EG03,USD,Mortgage-Backed and Government Agencies,,3130AGWK7,BJXM4R0,FEDERAL HOME LOAN BANKS 1.500% 08/15/24,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,190.0000,0.0000,0.0000,190.0000
10/20/2023,66EG99E1,EG03,USD,Mortgage-Backed and Government Agencies,,3130AHNR0,BH3TW40,FEDERAL HOME LOAN BANKS 2.020% 12/16/26,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1700.0000,0.0000,0.0000,1700.0000
10/20/2023,66EG99E1,EG03,USD,Mortgage-Backed and Government Agencies,,3130AJMA4,BMB5HQ2,FEDERAL HOME LOAN BANKS 1.640% 05/27/33,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1025.0000,0.0000,0.0000,1025.0000
10/20/2023,66EG99E1,EG03,USD,Mortgage-Backed and Government Agencies,,3130AJWB1,BMCVZ21,FEDERAL HOME LOAN BANKS 0.650% 08/05/25,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,285.0000,0.0000,0.0000,285.0000
10/20/2023,66EG99E1,EG03,USD,Mortgage-Backed and Government Agencies,,3130AK4Y9,BKSD3S9,FEDERAL HOME LOAN BANKS 0.900% 09/22/27,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,820.0000,0.0000,0.0000,820.0000
10/20/2023,66EG99E1,EG03,USD,Mortgage-Backed and Government Agencies,,3130AK5Y8,,FEDERAL HOME LOAN BANKS 0.970% 09/21/28,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,175.5000,0.0000,0.0000,175.5000
10/20/2023,66EG99E1,EG03,USD,Mortgage-Backed and Government Agencies,,3130AKBS4,,FEDERAL HOME LOAN BANKS 1.410% 10/14/32,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,137.5000,0.0000,0.0000,137.5000
10/20/2023,66EG99E1,EG03,USD,Mortgage-Backed and Government Agencies,,3130AKK54,BKSF3Q3,FEDERAL HOME LOAN BANKS 1.150% 12/17/29,0.000000000000000,0.000000000000000,0.000000000000000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,937.5000,0.0000,0.0000,937.5000
